BotName,Opponent,MapName,Matches,Wins,TimeoutWins,Draws,Losses,WinRate,EffectiveWinRate,DamageDealt,DamageTaken,DamageDelta
A Super Robot,BlitzKriegBot,Four Corners,24,0,0,0,24,0.0000,0.0000,1800,2400,-600
A Super Robot,BlitzKriegBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,BlitzKriegBot,Oasis Cross,24,16,0,8,0,0.6667,0.7167,1600,1000,600
A Super Robot,BlitzKriegBot,River Bend,24,0,0,0,24,0.0000,0.0000,1800,2400,-600
A Super Robot,BlitzKriegBot,The void,24,24,0,0,0,1.0000,1.0000,1200,1800,-600
A Super Robot,BlitzKriegBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,BunnyBot,Four Corners,24,0,11,13,0,0.0000,0.3563,550,0,550
A Super Robot,BunnyBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,BunnyBot,Oasis Cross,24,12,12,0,0,0.5000,0.8000,2100,900,1200
A Super Robot,BunnyBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,BunnyBot,The void,24,1,0,23,0,0.0417,0.1854,0,75,-75
A Super Robot,BunnyBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,KingArthur,Four Corners,24,0,0,0,24,0.0000,0.0000,1350,2400,-1050
A Super Robot,KingArthur,Het kanaal,24,0,0,22,2,0.0000,0.1375,0,200,-200
A Super Robot,KingArthur,Oasis Cross,24,0,0,0,24,0.0000,0.0000,0,2400,-2400
A Super Robot,KingArthur,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,KingArthur,The void,24,0,0,19,5,0.0000,0.1188,150,500,-350
A Super Robot,KingArthur,Twin Ridges,24,12,0,0,12,0.5000,0.5000,2100,1800,300
A Super Robot,Lightning McQueen,Four Corners,24,7,0,17,0,0.2917,0.3979,700,525,175
A Super Robot,Lightning McQueen,Het kanaal,24,0,0,19,5,0.0000,0.1188,0,500,-500
A Super Robot,Lightning McQueen,Oasis Cross,24,1,0,0,23,0.0417,0.0417,325,2375,-2050
A Super Robot,Lightning McQueen,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,Lightning McQueen,The void,24,0,0,21,3,0.0000,0.1313,150,300,-150
A Super Robot,Lightning McQueen,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,OlivierBot,Four Corners,24,0,0,0,24,0.0000,0.0000,0,2400,-2400
A Super Robot,OlivierBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,OlivierBot,Oasis Cross,24,2,0,22,0,0.0833,0.2208,200,150,50
A Super Robot,OlivierBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,OlivierBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
A Super Robot,OlivierBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
A Super Robot,SchwarzeneggerBot,Four Corners,24,0,0,1,23,0.0000,0.0063,1725,2300,-575
A Super Robot,SchwarzeneggerBot,Het kanaal,24,0,0,0,24,0.0000,0.0000,900,2400,-1500
A Super Robot,SchwarzeneggerBot,Oasis Cross,24,0,0,0,24,0.0000,0.0000,1800,2400,-600
